merchant_id,merchant_name,merchant_category,location_zip,years_in_business,avg_transaction_value,chargeback_rate,risk_tier
Merch_00000,"Robinson, Tanner And Jones",Digital,20212,4,35.26,0.0285,Low
Merch_00001,Trade-Co,Manufacturing,2319,9,35.92,0.0156,Low
Merch_00002,"Nelson, Mcintosh And Warner",Unknown,75678,Unknown,Unknown,0.0063,Medium
Merch_00003,Supply-Partners,Wholesale,Abc12,0,55.73,Unknown,Medium
Merch_00004,Biz-Corp,Wholesale,90426,7,30.79,0.0358,Low
Merch_00005,Nelson-Moore,Digital,Abc12,1,150.59,0.0146,Medium
Merch_00006,Vaughn-Peters,Unknown,40904,0,41.33,0.02,Low
Merch_00007,Coleman Plc,Retail,11658,4,$106.69,0.0116,Low
Merch_00008,Anderson-Dean,Unknown,Abc12,7,49.34,0.0175,Low
Merch_00009,Gregory Llc,Digital,32935,1,87.08,0.0349,Low
Merch_00010,"Randall, Williams And Brooks",Wholesale,1104,5,25.16,0.0097,Medium
Merch_00011,"Ray, Smith And Stewart",Unknown,89435,1,655.11,0.024,Unknown
Merch_00012,Harrison Group,Unknown,34796,4,85.6,0.0134,Medium
Merch_00013,"Thompson, Duran And Lopez",Unknown,67989,Unknown,35.96,0.004,Medium
Merch_00014,Mcneil-Bell,Unknown,77985,6,27.48,0.0762,Medium
Merch_00015,Murphy-Williams,Services,07105,1,112.93,0.0336,High
Merch_00016,"Collins, Garcia And Wood",Unknown,11024,3,$123.77,0.0199,Low
Merch_00017,Martin-Willis,Manufacturing,46190,8,Unknown,0.018,Unknown
Merch_00018,Fernandez Ltd,Unknown,3514,8,66.71,0.0205,Unknown
Merch_00019,Supply-Partners,Services,38411,0,253.25,0.0268,Medium
Merch_00020,Kirby Inc,Manufacturing,44887,3,74.0,0.0318,Low
Merch_00021,Gardner Llc,Wholesale,71174,7,216.81,0.0094,Medium
Merch_00022,Goods-Llc,Digital,20263Extra,11,$25.94,0.0115,Low
Merch_00023,Edwards-Foster,Retail,02067,Unknown,262.75,0.0569,Low
Merch_00024,Patterson Inc,Unknown,49400Extra,Unknown,171.92,Unknown,High
Merch_00025,"Murray, Jackson And Mccarthy",Manufacturing,50923,-14,$66.5,0.0278,Low
Merch_00026,Nichols Group,Services,94987,3,28.23,0.0269,Low
Merch_00027,Fox-Roth,Digital,Unknown,12,15.15,0.2067,Medium
Merch_00028,"Mendoza, Rivera And Diaz",Unknown,93293,4,22.23,0.0571,Medium
Merch_00029,Biz-Corp,Services,Unknown,1,22.2,0.0173,Low
Merch_00030,Biz-Corp,Unknown,7150,0,34.14,1.16%,Low
Merch_00031,"Gray, Decker And Moran",Manufacturing,12983,24,34.96,0.0099,Low
Merch_00032,Miller-Wiggins,Unknown,90597,6,10.4,0.0184,Unknown
Merch_00033,"Barton, Cross And House",Unknown,3924,9,30.12,0.0183,Low
Merch_00034,Goods-Llc,Services,9355,1,143.03,0.0202,Medium
Merch_00035,Jackson Inc,Digital,33643Extra,11 Years,34.51,0.0386,Low
Merch_00036,Osborne-Villa,Unknown,Unknown,0,$76.17,0.0188,Low
Merch_00037,"Miller, Guerra And Griffin",Services,1737,5 Years,55.64,0.0022,Medium
Merch_00038,Perez Plc,Unknown,26009,1,28.42,Unknown,Low
Merch_00039,"Pace, Cooper And Ramirez",Retail,06814,2 Years,Unknown,1.84%,Low
Merch_00040,Supply-Partners,Manufacturing,02162Extra,Unknown,19.78,0.0237,Low
Merch_00041,Williamson-Morris,Unknown,59213,0,$10.86,2.29%,Unknown
