merchant_id,merchant_name,merchant_category,location_zip,years_in_business,avg_transaction_value,chargeback_rate,risk_tier
MERCH_00000,"Robinson, Tanner and Jones",Digital,20212,4,35.26,0.0285,low
MERCH_00001,Trade-Co,Manufacturing,2319,9,35.92,0.0156,low
MERCH_00002,"NELSON, MCINTOSH AND WARNER",Unknown,75678,Unknown,Unknown,0.0063,medium
MERCH_00003,SUPPLY-PARTNERS,Wholesale,ABC12,0,55.73,Unknown,medium
MERCH_00004,Biz-Corp,Wholesale,90426,7,30.79,0.0358,low
MERCH_00005,Nelson-Moore,Digital,ABC12,1,150.59,0.0146,medium
MERCH_00006,Vaughn-Peters,Unknown,40904,0,41.33,0.02,low
MERCH_00007,Coleman PLC,Retail,11658,4,$106.69,0.0116,low
MERCH_00008,Anderson-Dean,Unknown,ABC12,7,49.34,0.0175,low
MERCH_00009,GREGORY LLC,Digital,32935,1,87.08,0.0349,low
MERCH_00010,"Randall, Williams and Brooks",Wholesale,1104,5,25.16,0.0097,medium
MERCH_00011,"Ray, Smith and Stewart",Unknown,89435,1,655.11,0.024,Unknown
MERCH_00012,HARRISON GROUP,Unknown,34796,4,85.6,0.0134,medium
MERCH_00013,"Thompson, Duran and Lopez",Unknown,67989,Unknown,35.96,0.004,medium
MERCH_00014,Mcneil-Bell,Unknown,77985,6,27.48,0.0762,medium
MERCH_00015,Murphy-Williams,Services,07105,1,112.93,0.0336,high
MERCH_00016,"Collins, Garcia and Wood",Unknown,11024,3,$123.77,0.0199,low
MERCH_00017,MARTIN-WILLIS,Manufacturing,46190,8,Unknown,0.018,unknown
MERCH_00018,Fernandez Ltd,Unknown,3514,8,66.71,0.0205,Unknown
MERCH_00019,Supply-Partners,Services,38411,0,253.25,0.0268,medium
MERCH_00020,Kirby Inc,Manufacturing,44887,3,74.0,0.0318,low
MERCH_00021,Gardner LLC,Wholesale,71174,7,216.81,0.0094,medium
MERCH_00022,Goods-LLC,Digital,20263EXTRA,11,$25.94,0.0115,low
MERCH_00023,Edwards-Foster,Retail,02067,Unknown,262.75,0.0569,low
MERCH_00024,Patterson Inc,Unknown,49400EXTRA,Unknown,171.92,Unknown,high
MERCH_00025,"Murray, Jackson and Mccarthy",Manufacturing,50923,-14,$66.5,0.0278,low
MERCH_00026,NICHOLS GROUP,Services,94987,3,28.23,0.0269,low
MERCH_00027,FOX-ROTH,Digital,Unknown,12,15.15,0.2067,medium
MERCH_00028,"MENDOZA, RIVERA AND DIAZ",Unknown,93293,4,22.23,0.0571,medium
MERCH_00029,Biz-Corp,Services,Unknown,1,22.2,0.0173,low
MERCH_00030,Biz-Corp,Unknown,7150,0,34.14,1.16%,low
MERCH_00031,"Gray, Decker and Moran",Manufacturing,12983,24,34.96,0.0099,low
MERCH_00032,Miller-Wiggins,Unknown,90597,6,10.4,0.0184,unknown
MERCH_00033,"Barton, Cross and House",Unknown,3924,9,30.12,0.0183,low
MERCH_00034,Goods-LLC,Services,9355,1,143.03,0.0202,medium
MERCH_00035,Jackson Inc,Digital,33643EXTRA,11 years,34.51,0.0386,low
MERCH_00036,Osborne-Villa,Unknown,Unknown,0,$76.17,0.0188,low
MERCH_00037,"Miller, Guerra and Griffin",Services,1737,5 years,55.64,0.0022,medium
MERCH_00038,Perez PLC,Unknown,26009,1,28.42,Unknown,low
MERCH_00039,"Pace, Cooper and Ramirez",Retail,06814,2 years,Unknown,1.84%,low
MERCH_00040,Supply-Partners,Manufacturing,02162EXTRA,Unknown,19.78,0.0237,low
